video_idx,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh
0,1.0,0.07328339575530587,0.03803537873388194,0.2777777777777778,0.16129032258064516,0.6399500624219725,0.47053423903065905,0.9408239700374532,0.8882602545968883,0.998876404494382,0.9977553310886644,0.5111751052061477,0.5861423220973783
1,0.6393018018018019,0.16155268022181146,0.06649908592321754,0.38817005545286504,0.17625808619675712,0.6870609981515712,0.36117052304102665,0.8744916820702403,0.509379042690815,0.9471349353049907,0.5761567038162783,0.3378926883336189,0.6116820702402957
10,0.7888986013986014,0.12591694839573897,0.05776321179844326,0.3639089111437137,0.18736039942188937,0.7157619442495375,0.4498636290710733,0.8923901256617975,0.630712320115487,0.9327039612170696,0.6784918276374443,0.4008382776088674,0.6061363781335715
11,0.7375334277174768,0.09880043620501636,0.044188655318733845,0.269247546346783,0.13018001372538668,0.5941112322791712,0.3375609146570036,0.8163576881134132,0.5295420447238695,0.929989094874591,0.6478602216748769,0.3378663700199741,0.5417011995637949
12,0.9934185959671397,0.14998586372632175,0.08083193661435319,0.4498633493544435,0.2891803477312655,0.8488361134671567,0.7332220231308031,0.9868061445669588,0.9675928066201285,0.9998115163509566,0.993022711308827,0.6127699650810754,0.6870605974931674
13,0.9056589056589056,0.1003993644522695,0.05027632625852096,0.31030188517198437,0.173582910829709,0.6441362133379138,0.44299347061778,0.828015631038777,0.6511494252873563,0.8746081504702194,0.7131182041388986,0.40622406742645295,0.5514922488942329
14,0.8961082682467008,0.06910954336457127,0.036095220520391214,0.2300726545224808,0.13117759645411503,0.5350461549261171,0.36631543085196994,0.7805271840230248,0.6353838984038215,0.9117616089291355,0.7923703112529928,0.3922684914966581,0.5053034291530658
15,0.9490289456060719,0.13320889190565077,0.06943459766040411,0.3747666723230952,0.22369822035187345,0.7114372984897336,0.5315058062059775,0.8824876972679451,0.7557835006547359,0.9292380790768708,0.8278551953953347,0.4816554640536651,0.606227727812659
16,1.0,0.1840816326530612,0.1013710946280063,0.676734693877551,0.5114127082048119,0.9783673469387755,0.9576508190171794,1.0,1.0,1.0,1.0,0.7140869243699995,0.7678367346938775
17,0.9013317191283293,0.07091237579042457,0.034700665188470065,0.24164408310749774,0.12921960072595282,0.5176151761517616,0.3247693399574166,0.8200090334236676,0.635073580939033,0.9808039747064138,0.8680944755804644,0.3983715324782674,0.526196928635953
18,0.7184394305667472,0.05551422726427376,0.027879887334701866,0.16970429607587875,0.08912944509079873,0.3872047610191557,0.22168633681343622,0.6466431095406361,0.4171658000394919,0.8389436488748373,0.5833946168554199,0.26785121722676974,0.4196020085549564
19,0.7314300819455458,0.046271338724168914,0.019645983271737017,0.1747529200359389,0.07926703726580193,0.4101527403414196,0.20450367647058823,0.6536388140161725,0.3658155289213132,0.8050314465408805,0.4875141884222474,0.23134928287033754,0.41796945193171614
2,0.7513794222654983,0.09495101733232857,0.04115903852486006,0.24340617935192163,0.11259676284306826,0.5139412207987942,0.2648,0.7008289374529013,0.38501971090670173,0.8176337603617182,0.4598337950138504,0.2526818614576961,0.47415222305953275
20,0.8622470942746449,0.0759034637989246,0.03965702036441586,0.23596348630736527,0.1303714493809177,0.5040640240090034,0.3209634862541493,0.6976366137301488,0.5059188822045411,0.8544454170313868,0.6724137931034483,0.33386492626149444,0.47360260097536583
21,0.994815668202765,0.1694929274547109,0.09233056957462149,0.5219621143188022,0.35190452289331325,0.8986682107701216,0.8121402407116692,0.9861857887335594,0.9677733582271288,0.9985937629249731,0.9920289259594051,0.6432355234732275,0.7149805608404335
22,0.7483791293609139,0.08952794357026587,0.03947685424195491,0.31718471436322765,0.1547314089084305,0.667932718393923,0.39141251266930804,0.9120223238508642,0.6196707245133265,0.9880629408572978,0.7063276836158192,0.3823238367897678,0.5949461282071157
23,0.8521087770721381,0.09548577417226255,0.047304582210242585,0.28863098241664403,0.15772783382284083,0.582696114582929,0.3779066822027458,0.782051779684043,0.5769531816205247,0.8645344098125218,0.6685172688792098,0.36568190974711273,0.5226798121336801
24,0.9126864420982068,0.16652994257588188,0.08870081336557485,0.5092288761279737,0.3288167426884894,0.8279327317473338,0.6731418918918919,0.9066858080393765,0.7709637046307884,0.9280147662018048,0.8009090909090909,0.5325064486971671,0.6676784249384741
25,0.7243852459016393,0.11804511278195488,0.051298914830647815,0.3030075187969925,0.13934426229508196,0.6398496240601503,0.34158623583718,0.8736842105263158,0.5137310606060606,0.9451127819548872,0.5764299802761341,0.3244780907690209,0.5759398496240602
26,0.883248730964467,0.09341798393366157,0.04849475548290424,0.29191500388701735,0.16683089517168195,0.6267167660015548,0.4390950733850612,0.8259911894273128,0.6536684928563755,0.9286084477844001,0.7895838177168101,0.4195346069225666,0.5533298782067894
27,0.8102971102971103,0.10248313477824028,0.05189183810542551,0.31314291182240084,0.17667520035618878,0.6102100377972346,0.4062655891449666,0.8107267594851921,0.5995233772128915,0.9160805703076408,0.720791112196313,0.39102942340315705,0.5505286828381417
28,0.891222508420844,0.08234900824604413,0.04321313397830548,0.24548696233563627,0.1402935332948792,0.5342099398261645,0.36295388386701394,0.7577445954981057,0.6001438978325389,0.8997102741252507,0.7740552398045668,0.3841319377554609,0.5039001560062403
29,0.9621114268492207,0.1276842199055511,0.06716033181796878,0.37280584513944576,0.2249179622357308,0.7226231845317651,0.5514069632758738,0.9469838724048828,0.8691512066984075,0.9936737057827675,0.9521604938271605,0.5329593915710282,0.6327541655528826
3,0.803012048192771,0.1559166528491682,0.0753567420234087,0.4360802520311723,0.24311133077968614,0.7722876250483612,0.5301722498954333,0.8808378931078318,0.6507506768397736,0.9365500469794948,0.717614921678262,0.44340118424331276,0.6363344940032057
4,0.7458136539287248,0.24658215262242109,0.11882510013351134,0.48496147153865277,0.26412506856829404,0.6813323390504599,0.4099112878556133,0.8140691026597067,0.5248966087675765,0.8891374596072583,0.6009030913511636,0.38373223133523177,0.6232165050956998
5,0.7792407285494843,0.097631426920855,0.04094448630997237,0.30906990179087235,0.14317241379310344,0.5898324667822068,0.3122229259024699,0.7579433853264009,0.42650602409638555,0.8515309069901791,0.49225783219301406,0.28302073645898906,0.5212016175621029
6,0.8376068376068376,0.17218543046357615,0.09221748400852879,0.42649006622516555,0.2585995085995086,0.7354304635761589,0.5471935565064183,0.890728476821192,0.7257158899494666,0.9410596026490067,0.7812228339611706,0.48098985460501853,0.6331788079470199
7,0.687257045675413,0.090967797485793,0.04416020500585415,0.26648872050972966,0.14042368382956136,0.534785603581884,0.31873221360415155,0.7342862063027381,0.46298130493995293,0.8392457379025314,0.5414166449256457,0.3015428104610331,0.49315481315653525
8,0.873142112125163,0.14147097195042402,0.07113862807003157,0.4087573385518591,0.23687325410728657,0.7752772341813438,0.567126574685063,0.9440639269406392,0.7836952068824252,0.9820613176777561,0.8382942790795862,0.4994255885648785,0.6503261578604044
9,0.6311967602290183,0.031109065807639207,0.015226235975835285,0.10326737229636447,0.052063370384566245,0.29590427979751494,0.15531392493861804,0.5525080533824206,0.27944375388440024,0.7645651173492867,0.3367694805194805,0.16776335314058005,0.34947077772664514
